"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BANDHANBNK","EQ","14-May-2018","        484.35","        484.00","        489.40","        478.40","        480.15","        479.95","        481.93","     377154","           181762657.95","      15350","     249406","         66.13"
"BANDHANBNK","EQ","15-May-2018","        479.95","        483.90","        489.80","        473.50","        479.00","        483.85","        481.82","    1463884","           705330564.65","      24450","     852735","         58.25"
"BANDHANBNK","EQ","16-May-2018","        483.85","        479.90","        484.90","        475.00","        480.30","        482.50","        477.95","     432584","           206753703.80","      10329","     263806","         60.98"
"BANDHANBNK","EQ","17-May-2018","        482.50","        483.00","        487.00","        477.65","        482.00","        483.85","        483.61","     477080","           230722687.95","      11605","     356210","         74.66"
"BANDHANBNK","EQ","18-May-2018","        483.85","        481.05","        485.05","        478.00","        478.20","        479.55","        480.23","     294337","           141348353.45","       9936","     209445","         71.16"
"BANDHANBNK","EQ","21-May-2018","        479.55","        474.00","        481.20","        463.20","        467.40","        468.80","        470.98","     363194","           171056628.50","      10939","     243870","         67.15"
"BANDHANBNK","EQ","22-May-2018","        468.80","        468.80","        477.40","        468.00","        470.05","        470.35","        471.28","     243251","           114639562.95","      14572","     146289","         60.14"
"BANDHANBNK","EQ","23-May-2018","        470.35","        471.80","        500.00","        469.30","        495.25","        495.95","        491.93","    1809012","           889904415.65","      30939","    1108305","         61.27"
"BANDHANBNK","EQ","24-May-2018","        495.95","        489.80","        495.10","        474.60","        477.25","        477.20","        482.54","     435390","           210091254.90","       9325","     275851","         63.36"
"BANDHANBNK","EQ","25-May-2018","        477.20","        483.75","        487.00","        476.85","        484.15","        483.10","        483.40","     289819","           140097202.90","      11253","     145067","         50.05"
"BANDHANBNK","EQ","28-May-2018","        483.10","        486.70","        488.40","        481.00","        483.50","        484.55","        485.06","     228736","           110949963.45","       7462","     127328","         55.67"
"BANDHANBNK","EQ","29-May-2018","        484.55","        485.10","        488.50","        478.25","        479.00","        479.75","        482.63","     172900","            83447008.30","       6678","      87595","         50.66"
"BANDHANBNK","EQ","30-May-2018","        479.75","        477.00","        478.95","        468.20","        469.65","        469.90","        472.11","     372779","           175993511.90","      13263","     239605","         64.28"
"BANDHANBNK","EQ","31-May-2018","        469.90","        472.20","        474.00","        463.10","        470.00","        470.50","        467.82","     375833","           175821163.50","      11178","     215755","         57.41"
"BANDHANBNK","EQ","01-Jun-2018","        470.50","        470.00","        478.75","        470.00","        475.05","        475.10","        475.34","     347149","           165012454.80","      11991","     204294","         58.85"
"BANDHANBNK","EQ","04-Jun-2018","        475.10","        479.00","        479.00","        470.40","        474.20","        473.95","        474.61","     331178","           157181246.65","       8550","     245102","         74.01"
"BANDHANBNK","EQ","05-Jun-2018","        473.95","        474.00","        474.00","        456.15","        468.90","        470.05","        464.78","     535857","           249055346.45","      20110","     349031","         65.14"
"BANDHANBNK","EQ","06-Jun-2018","        470.05","        471.00","        503.60","        467.00","        495.75","        495.70","        491.41","    2580270","          1267967299.75","      32059","    1215613","         47.11"
"BANDHANBNK","EQ","07-Jun-2018","        495.70","        501.00","        502.90","        491.20","        498.30","        498.05","        497.19","     767664","           381674498.35","      17248","     569470","         74.18"
"BANDHANBNK","EQ","08-Jun-2018","        498.05","        496.90","        502.35","        492.30","        496.20","        498.10","        497.48","     971489","           483298069.25","      40004","     767762","         79.03"
"BANDHANBNK","EQ","11-Jun-2018","        498.10","        501.00","        529.00","        496.05","        508.10","        512.20","        517.48","    3530631","          1827047103.40","      62975","    1677793","         47.52"
"BANDHANBNK","EQ","12-Jun-2018","        512.20","        510.10","        525.50","        505.55","        521.05","        520.20","        517.38","    1061375","           549136776.85","      29687","     404602","         38.12"
"BANDHANBNK","EQ","13-Jun-2018","        520.20","        521.05","        539.85","        518.55","        538.70","        535.70","        533.31","    1541850","           822280746.00","      52967","     934226","         60.59"
"BANDHANBNK","EQ","14-Jun-2018","        535.70","        538.00","        560.00","        538.00","        545.00","        547.20","        548.18","    3171005","          1738282808.80","      61030","    1458248","         45.99"
"BANDHANBNK","EQ","15-Jun-2018","        547.20","        544.40","        553.80","        531.40","        551.75","        550.15","        543.65","    1468910","           798578757.00","      37972","     553418","         37.68"
"BANDHANBNK","EQ","18-Jun-2018","        550.15","        548.05","        557.90","        545.20","        548.85","        551.95","        552.54","     653866","           361287921.05","      22055","     309727","         47.37"
"BANDHANBNK","EQ","19-Jun-2018","        551.95","        546.25","        549.95","        532.00","        533.00","        534.20","        541.08","     603528","           326555200.75","      25888","     336272","         55.72"
"BANDHANBNK","EQ","20-Jun-2018","        534.20","        536.95","        551.40","        535.15","        541.15","        539.70","        543.63","     617216","           335538685.40","      42292","     321961","         52.16"
"BANDHANBNK","EQ","21-Jun-2018","        539.70","        541.00","        547.90","        535.15","        538.15","        537.55","        540.83","     327133","           176922755.25","      29974","     185438","         56.69"
"BANDHANBNK","EQ","22-Jun-2018","        537.55","        537.55","        544.00","        533.15","        533.15","        536.10","        537.61","     293938","           158024808.35","      22922","     178603","         60.76"
"BANDHANBNK","EQ","25-Jun-2018","        536.10","        538.35","        542.00","        533.05","        535.50","        534.50","        537.13","     308692","           165806994.95","      16131","     201241","         65.19"
"BANDHANBNK","EQ","26-Jun-2018","        534.50","        532.10","        542.00","        528.05","        529.25","        531.50","        533.84","    1183515","           631803853.05","      10848","    1055008","         89.14"
"BANDHANBNK","EQ","27-Jun-2018","        531.50","        535.00","        535.00","        520.05","        523.15","        523.85","        524.53","     855250","           448603967.20","      28217","     601135","         70.29"
"BANDHANBNK","EQ","28-Jun-2018","        523.85","        522.00","        523.85","        508.00","        512.25","        512.20","        512.26","     260547","           133467440.95","      10596","     122100","         46.86"
"BANDHANBNK","EQ","29-Jun-2018","        512.20","        514.95","        530.00","        512.25","        529.15","        526.55","        521.72","     346849","           180956990.95","      14245","     186757","         53.84"
"BANDHANBNK","EQ","02-Jul-2018","        526.55","        530.00","        530.65","        523.00","        527.65","        527.65","        527.39","    1119123","           590218686.10","      35402","     891199","         79.63"
"BANDHANBNK","EQ","03-Jul-2018","        527.65","        527.00","        567.80","        525.00","        554.00","        559.25","        551.72","     679896","           375112761.05","      14381","     273467","         40.22"
"BANDHANBNK","EQ","04-Jul-2018","        559.25","        552.80","        558.70","        545.05","        548.00","        548.45","        551.11","     367351","           202452519.70","      13262","     125030","         34.04"
"BANDHANBNK","EQ","05-Jul-2018","        548.45","        547.15","        549.80","        538.00","        540.00","        540.05","        541.61","     270838","           146687579.25","       9742","     144083","         53.20"
"BANDHANBNK","EQ","06-Jul-2018","        540.05","        538.05","        548.40","        538.05","        544.35","        544.30","        544.68","     313428","           170718911.25","       7958","     156001","         49.77"
"BANDHANBNK","EQ","09-Jul-2018","        544.30","        548.80","        560.70","        544.50","        558.00","        557.95","        551.04","     687065","           378597703.30","      10183","     503125","         73.23"
"BANDHANBNK","EQ","10-Jul-2018","        557.95","        561.00","        585.95","        561.00","        581.00","        580.00","        576.95","    1321938","           762686359.90","      44566","     543745","         41.13"
"BANDHANBNK","EQ","11-Jul-2018","        580.00","        577.00","        588.80","        564.00","        565.10","        567.40","        575.98","     862150","           496580416.70","      50147","     429180","         49.78"
"BANDHANBNK","EQ","12-Jul-2018","        567.40","        569.90","        572.00","        555.65","        560.00","        563.15","        562.72","     960998","           540775820.65","      37402","     645626","         67.18"
"BANDHANBNK","EQ","13-Jul-2018","        563.15","        564.80","        579.35","        556.40","        569.30","        568.95","        569.39","    1274500","           725692653.55","      53533","     778088","         61.05"
"BANDHANBNK","EQ","16-Jul-2018","        568.95","        558.25","        564.80","        544.55","        557.50","        557.35","        553.65","     433679","           240106716.35","      12608","     189397","         43.67"
"BANDHANBNK","EQ","17-Jul-2018","        557.35","        559.90","        566.40","        552.05","        559.50","        562.75","        559.10","     397824","           222422432.95","      16758","     166158","         41.77"
"BANDHANBNK","EQ","18-Jul-2018","        562.75","        564.00","        607.70","        564.00","        599.00","        600.50","        589.25","    5518147","          3251550790.80","     101769","    1889593","         34.24"
"BANDHANBNK","EQ","19-Jul-2018","        600.50","        599.00","        633.00","        590.35","        623.60","        617.50","        617.15","    3883898","          2396962230.35","     128423","    1460248","         37.60"
"BANDHANBNK","EQ","20-Jul-2018","        617.50","        618.00","        706.80","        616.00","        681.80","        687.40","        662.18","    5425223","          3592466621.70","     161618","    1256618","         23.16"
"BANDHANBNK","EQ","23-Jul-2018","        687.40","        685.00","        714.00","        665.55","        681.30","        681.20","        691.46","    2813794","          1945630252.10","      87403","     559088","         19.87"
"BANDHANBNK","EQ","24-Jul-2018","        681.20","        681.30","        712.90","        681.30","        709.90","        708.70","        702.17","    2345515","          1646956309.25","      68196","     817982","         34.87"
"BANDHANBNK","EQ","25-Jul-2018","        708.70","        709.90","        715.00","        688.40","        694.50","        695.10","        702.70","    1490189","          1047158104.10","      45571","     771283","         51.76"
"BANDHANBNK","EQ","26-Jul-2018","        695.10","        697.90","        702.90","        660.10","        665.00","        664.50","        682.96","    1091444","           745417067.15","      54146","     537027","         49.20"
"BANDHANBNK","EQ","27-Jul-2018","        664.50","        667.05","        696.70","        667.00","        688.50","        687.05","        685.58","    1354625","           928697193.60","      65140","     708016","         52.27"
"BANDHANBNK","EQ","30-Jul-2018","        687.05","        690.40","        707.95","        685.95","        688.15","        690.00","        693.46","     769600","           533683961.80","      26616","     287437","         37.35"
"BANDHANBNK","EQ","31-Jul-2018","        690.00","        690.10","        719.80","        682.60","        699.00","        701.35","        705.14","    1586042","          1118377725.60","      43469","     467967","         29.51"
"BANDHANBNK","EQ","01-Aug-2018","        701.35","        703.50","        714.00","        703.00","        706.00","        706.95","        707.75","     602841","           426660095.55","      40135","     254953","         42.29"
"BANDHANBNK","EQ","02-Aug-2018","        706.95","        708.60","        708.70","        693.00","        700.00","        699.45","        700.35","     622240","           435788658.65","      27006","     348075","         55.94"
"BANDHANBNK","EQ","03-Aug-2018","        699.45","        704.45","        710.45","        693.50","        696.45","        698.70","        703.49","     651603","           458399070.25","      33034","     329513","         50.57"
"BANDHANBNK","EQ","06-Aug-2018","        698.70","        704.35","        704.35","        685.00","        688.05","        688.85","        691.12","     676161","           467308387.15","      48967","     424469","         62.78"
