"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SRTRANSFIN","EQ","03-Sep-2018","       1335.80","       1349.00","       1367.55","       1306.00","       1310.90","       1313.65","       1341.68","    1397305","          1874735533.85","      37156","     762465","         54.57"
"SRTRANSFIN","EQ","04-Sep-2018","       1313.65","       1316.00","       1333.65","       1286.85","       1290.05","       1297.25","       1313.52","    1103637","          1449652372.65","      28027","     379957","         34.43"
"SRTRANSFIN","EQ","05-Sep-2018","       1297.25","       1286.00","       1313.95","       1257.00","       1260.00","       1259.90","       1275.81","    1937370","          2471710403.00","      76936","     959588","         49.53"
"SRTRANSFIN","EQ","06-Sep-2018","       1259.90","       1263.00","       1266.00","       1190.00","       1190.45","       1198.20","       1218.09","    2205755","          2686804180.95","      89986","     732059","         33.19"
"SRTRANSFIN","EQ","07-Sep-2018","       1198.20","       1210.00","       1228.00","       1180.55","       1213.10","       1212.55","       1205.96","    2003058","          2415598778.00","      66040","     663267","         33.11"
"SRTRANSFIN","EQ","10-Sep-2018","       1212.55","       1212.00","       1229.90","       1181.80","       1188.75","       1192.30","       1204.77","     810963","           977027176.75","      41435","     228578","         28.19"
"SRTRANSFIN","EQ","11-Sep-2018","       1192.30","       1200.00","       1210.40","       1175.20","       1190.05","       1186.65","       1192.48","     936137","          1116321119.85","      32345","     160844","         17.18"
"SRTRANSFIN","EQ","12-Sep-2018","       1186.65","       1198.00","       1200.50","       1163.90","       1173.85","       1177.35","       1183.21","     982840","          1162909603.50","      38619","     330425","         33.62"
"SRTRANSFIN","EQ","14-Sep-2018","       1177.35","       1144.00","       1226.00","       1140.00","       1213.30","       1215.10","       1203.74","    2477261","          2981990078.25","      96756","     825176","         33.31"
"SRTRANSFIN","EQ","17-Sep-2018","       1215.10","       1214.95","       1214.95","       1183.60","       1195.05","       1197.20","       1199.21","     911713","          1093338652.85","      32514","     393294","         43.14"
"SRTRANSFIN","EQ","18-Sep-2018","       1197.20","       1200.00","       1217.70","       1180.60","       1186.00","       1188.70","       1199.76","     674584","           809335676.70","      23675","     181383","         26.89"
"SRTRANSFIN","EQ","19-Sep-2018","       1188.70","       1205.10","       1214.95","       1168.30","       1192.05","       1192.05","       1189.41","     665583","           791648663.55","      26475","     179502","         26.97"
"SRTRANSFIN","EQ","21-Sep-2018","       1192.05","       1193.00","       1212.55","        970.15","       1162.40","       1161.10","       1141.37","    2630601","          3002479790.45","      84851","     996614","         37.89"
"SRTRANSFIN","EQ","24-Sep-2018","       1161.10","       1154.10","       1161.70","       1117.10","       1135.00","       1135.25","       1131.54","    1988996","          2250632860.60","      81352","    1192150","         59.94"
"SRTRANSFIN","EQ","25-Sep-2018","       1135.25","       1120.00","       1202.00","       1104.75","       1182.30","       1176.85","       1139.56","    1609831","          1834501303.90","      49344","     704061","         43.74"
"SRTRANSFIN","EQ","26-Sep-2018","       1176.85","       1185.65","       1204.90","       1160.50","       1182.00","       1188.95","       1186.53","     599156","           710916252.80","      25047","     137129","         22.89"
"SRTRANSFIN","EQ","27-Sep-2018","       1188.95","       1183.25","       1188.00","       1138.00","       1163.00","       1149.85","       1152.32","    1753771","          2020900176.90","      52418","     987427","         56.30"
