"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATACHEM","EQ","14-May-2018","        775.60","        784.90","        786.45","        713.60","        772.00","        776.30","        773.54","    1743792","          1348885965.15","      24203","     624877","         35.83"
"TATACHEM","EQ","15-May-2018","        776.30","        772.25","        778.30","        741.60","        746.90","        744.40","        761.00","    1184700","           901551155.50","      27273","     655313","         55.31"
"TATACHEM","EQ","16-May-2018","        744.40","        736.10","        750.70","        727.00","        731.00","        729.55","        739.92","     554248","           410098257.80","       9809","     211212","         38.11"
"TATACHEM","EQ","17-May-2018","        729.55","        735.00","        752.45","        729.10","        744.15","        744.90","        745.19","     737879","           549863696.40","      13055","     110441","         14.97"
"TATACHEM","EQ","18-May-2018","        744.90","        744.15","        745.40","        714.80","        717.25","        719.50","        727.74","     674552","           490900712.10","      11385","     213113","         31.59"
"TATACHEM","EQ","21-May-2018","        719.50","        727.00","        759.00","        709.00","        734.00","        734.95","        738.32","    2512885","          1855322599.50","      49048","     909388","         36.19"
"TATACHEM","EQ","22-May-2018","        734.95","        733.95","        733.95","        720.05","        727.00","        727.75","        726.38","     930780","           676098972.65","      14860","     546675","         58.73"
"TATACHEM","EQ","23-May-2018","        727.75","        727.00","        734.50","        719.10","        721.95","        723.00","        728.44","     955476","           696006231.90","      16759","     704575","         73.74"
"TATACHEM","EQ","24-May-2018","        723.00","        723.65","        726.95","        707.00","        718.95","        717.65","        716.25","     495597","           354970619.80","      10953","     169643","         34.23"
"TATACHEM","EQ","25-May-2018","        717.65","        718.40","        742.30","        718.40","        734.30","        735.10","        733.83","     926338","           679778737.70","      23790","     440201","         47.52"
"TATACHEM","EQ","28-May-2018","        735.10","        736.50","        746.40","        728.00","        742.00","        739.90","        738.79","     467342","           345269151.05","      12773","     174757","         37.39"
"TATACHEM","EQ","29-May-2018","        739.90","        742.90","        743.00","        722.05","        726.15","        725.00","        731.19","     305939","           223698012.05","       8387","      69675","         22.77"
